species_name,classification
Ajuga_chamaepitys,Common
Ajuga_pyramidalis,Common
Ajuga_reptans,Common
Akebia_quinata,Potentially Invasive
Akebia_trifoliata,Potentially Invasive
Alangium_chinense,Relict
Albizia_adianthifolia,Competitively Rare
Albizia_amara,Competitively Rare
Albizia_ferruginea,Relict
Albizia_gummifera,Competitively Rare
Albizia_harveyi,Competitively Rare
Albizia_lebbeck,Common
Alchemilla_alpina,Common
Alchemilla_caucasica,Relict
Alchemilla_crinita,Common
Alchemilla_filicaulis,Common
Alchemilla_pentaphyllea,Competitively Rare
Alchemilla_vulgaris,Common
Alchemilla_xanthochlora,Common
Alchornea_glandulosa,Competitively Rare
Alchornea_triplinervia,Competitively Rare
Alhagi_maurorum,Competitively Rare
Alisma_lanceolatum,Adaptable Survivor
Alisma_plantago-aquatica,Adaptable Survivor
Alkanna_tinctoria,Competitively Rare
Alliaria_petiolata,Adaptable Survivor
Allium_angulosum,Common
Allium_oleraceum,Adaptable Survivor
Allium_sphaerocephalon,Common
Allium_stellatum,Common
Allium_strictum,Common
Allium_textile,Common
Allium_vineale,Common
Allocasuarina_campestris,Common
Allocasuarina_humilis,Common
Allophylus_cobbe,Relict
Allophylus_edulis,Adaptable Survivor
Alnus_hirsuta,Adaptable Survivor
Alnus_japonica,Adaptable Survivor
Alphitonia_excelsa,Adaptable Survivor
Alpinia_caerulea,Adaptable Survivor
Alstonia_muelleriana,Competitively Rare
Alstonia_scholaris,Common
Alternanthera_nana,Adaptable Survivor
Althaea_officinalis,Common
Alvaradoa_amorphoides,Relict
Alyssum_linifolium,Competitively Rare
Alyssum_montanum,Common
Alyssum_simplex,Common
Amaioua_guianensis,Competitively Rare
Amanoa_guianensis,Relict
Amaranthus_blitoides,Common
Amaranthus_caudatus,Common
Amaranthus_deflexus,Common
Amaranthus_palmeri,Potentially Invasive
Amaranthus_powellii,Common
Amaranthus_retroflexus,Common
Ambrosia_deltoidea,Competitively Rare
Ambrosia_trifida,Common
Amelanchier_ovalis,Common
Amomyrtus_luma,Relict
Amphimas_pterocarpoides,Classically Rare
Amphipogon_caricinus,Common
Amphitecna_tuxtlensis,Endemic
Amyris_elemifera,Relict
Anacamptis_pyramidalis,Common
Anacyclus_clavatus,Common
Anadenanthera_colubrina,Relict
Anagallis_tenella,Relict
Anchusa_capensis,Endemic
Anchusa_italica,Common
Andrachne_telephioides,Relict
Andromeda_polifolia,Common
Androsace_maxima,Adaptable Survivor
Androsace_obtusifolia,Competitively Rare
Androsace_villosa,Adaptable Survivor
Androsace_vitaliana,Competitively Rare
Andryala_ragusina,Common
Anemone_cylindrica,Common
Angelica_archangelica,Common
Angophora_floribunda,Common
Angophora_hispida,Competitively Rare
Anisopogon_avenaceus,Adaptable Survivor
Anisoptera_costata,Endemic
Anisotome_aromatica,Common
Anisotome_flexuosa,Competitively Rare
Anisotome_imbricata,Competitively Rare
Anisotome_lanuginosa,Competitively Rare
Annona_glabra,Adaptable Survivor
Annona_montana,Classically Rare
Annona_neosericea,Relict
Annona_squamosa,Adaptable Survivor
Anopterus_glandulosus,Relict
Antennaria_carpatica,Competitively Rare
Antennaria_dioica,Common
Antennaria_parvifolia,Common
Antennaria_rosea,Common
Anthemis_cotula,Common
Anthosachne_scabra,Common
Anthospermum_aethiopicum,Competitively Rare
Anthriscus_cerefolium,Common
Anthriscus_sylvestris,Common
Anthyllis_cytisoides,Common
Anthyllis_vulneraria,Common
Anticlea_elegans,Adaptable Survivor
Antidesma_bunius,Relict
Antirrhinum_majus,Common
Aotus_ericoides,Adaptable Survivor
Apeiba_glabra,Competitively Rare
Apeiba_petoumo,Competitively Rare
Apera_spica-venti,Common
Aphanes_australis,Relict
Aphloia_theiformis,Relict
Aphyllanthes_monspeliensis,Adaptable Survivor
Apodytes_dimidiata,Adaptable Survivor
Aquilegia_viridiflora,Endemic
Arabis_alpina,Common
Arabis_caerulea,Competitively Rare
Arabis_caucasica,Common
Arabis_collina,Common
Arabis_pumila,Competitively Rare
Aralia_racemosa,Adaptable Survivor
Araucaria_columnaris,Endemic
Araucaria_cunninghamii,Endemic
Arbutus_andrachne,Common
Arbutus_unedo,Potentially Invasive
Archirhodomyrtus_beckleri,Competitively Rare
Archontophoenix_cunninghamiana,Potentially Invasive
Arctostaphylos_glauca,Competitively Rare
Arctostaphylos_patula,Potentially Invasive
Arctostaphylos_tomentosa,Competitively Rare
Arctostaphylos_uva-ursi,Potentially Invasive
Arctous_alpina,Common
Ardisia_crenata,Common
Ardisia_cymosa,Endemic
Ardisia_elliptica,Common
Ardisia_lindleyana,Competitively Rare
Ardisia_obovata,Competitively Rare
Ardisia_quinquegona,Competitively Rare
Arenaria_aggregata,Common
Arenaria_biflora,Competitively Rare
Arenaria_ciliata,Common
Arenaria_grandiflora,Adaptable Survivor
Arenaria_serpyllifolia,Common
Argemone_ochroleuca,Adaptable Survivor
Argyrolobium_zanonii,Common
Argyrotegium_fordianum,Competitively Rare
Argyrotegium_mackayi,Competitively Rare
Argyrotegium_nitidulum,Competitively Rare
Aristida_adscensionis,Common
Aristida_behriana,Common
Aristida_contorta,Common
Aristida_obscura,Competitively Rare
Aristida_purpurea,Common
Aristolochia_clematitis,Common
Aristolochia_pistolochia,Common
Aristotelia_peduncularis,Relict
Armeria_alpina,Adaptable Survivor
Armeria_cantabrica,Relict
Armeria_maritima,Common
Armeria_rouyana,Competitively Rare
Arnica_montana,Common
Arnoglossum_atriplicifolium,Common
Arnoglossum_plantagineum,Common
Arrhenatherum_elatius_subsp._bulbosum,Potentially Invasive
Artemisia_annua,Common
Artemisia_californica,Competitively Rare
Artemisia_genipi,Competitively Rare
Artemisia_gmelinii,Common
Artemisia_herba-alba,Common
Artemisia_maritima,Competitively Rare
Artemisia_pontica,Common
Artemisia_scoparia,Common
Arthropodium_milleflorum,Common
Arthropodium_minus,Common
Artocarpus_elasticus,Relict
Arum_maculatum,Adaptable Survivor
Asclepias_syriaca,Potentially Invasive
Asclepias_viridiflora,Common
Asclepias_viridis,Common
Asparagus_acutifolius,Common
Asparagus_albus,Potentially Invasive
Asparagus_officinalis,Common
Asperula_arvensis,Common
Asperula_cynanchica,Common
Asperula_gunnii,Competitively Rare
Asphodelus_fistulosus,Common
Asphodelus_ramosus,Common
Asphodelus_tenuifolius,Common
Aspidosperma_album,Endemic
Aspidosperma_megalocarpon,Endemic
Aspidosperma_parvifolium,Competitively Rare
Aspidosperma_spruceanum,Endemic
Aspidosperma_tomentosum,Competitively Rare
Aster_amellus,Common
Astragalus_alpinus,Common
Astragalus_danicus,Common
Astragalus_exscapus,Competitively Rare
